product_category_name,agro_industria_e_comercio,alimentos,alimentos_bebidas,artes,artigos_de_natal,audio,automotivo,bebes,bebidas,beleza_saude,brinquedos,cama_mesa_banho,casa_conforto,casa_construcao,climatizacao,consoles_games,construcao_ferramentas_construcao,construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,construcao_ferramentas_seguranca,cool_stuff,eletrodomesticos,eletronicos,eletroportateis,esporte_lazer,fashion_bolsas_e_acessorios,fashion_calcados,fashion_roupa_masculina,ferramentas_jardim,industria_comercio_e_negocios,informatica_acessorios,instrumentos_musicais,livros_interesse_geral,malas_acessorios,market_place,moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,moveis_escritorio,moveis_quarto,moveis_sala,papelaria,pcs,perfumaria,pet_shop,relogios_presentes,sinalizacao_e_seguranca,telefonia,telefonia_fixa,utilidades_domesticas
eletrodomesticos,-6.075242006656677e-17,-1.4196404116475503e-16,2.5410040191141935e-16,-2.85356691010142e-16,-2.90503779311515e-17,-2.0528161681523014e-16,0.027449120308441,9.4053386222684e-17,-3.10437461019822e-16,3.724657848631689e-16,1.1895709564835486e-16,0.008228233985677659,-1.310916073601816e-16,-1.8362770035210258e-16,0.18480144236468427,2.2441349936057957e-16,0.045494872251373074,1.553287412454631e-17,-2.661166574216875e-17,7.301104191052885e-17,-1.6962869288461537e-16,1.0000000000000002,-2.038097337326089e-16,-6.643027662578733e-17,-1.479028192854435e-17,-1.2514398453448861e-16,-7.439038964061414e-17,1.0121736083723931e-16,0.023407489208375397,-1.0521002654448133e-17,0.01875979820104293,-5.027724929029486e-17,2.198628485364327e-16,0.0605129845597335,3.4679459555335503e-17,1.3108987993867203e-16,0.01689275380216041,-4.913736266034027e-16,0.08997965093514147,-3.1199603620592143e-16,5.405979115008198e-17,4.7799105751970754e-06,-3.3101586410508624e-17,-2.30439116369262e-16,-1.392996784672044e-16,-5.3991703296094185e-17,8.28676698296295e-17,2.864751983491654e-17,0.046050348785579905
eletronicos,-4.104429618868032e-17,0.0027333983053981926,-1.6138882056277508e-16,3.7238931253257253e-17,-1.3962142208718113e-16,0.10570313163539415,0.026596702616847566,1.0972705349686161e-16,0.06252794573726456,0.005646435459518158,-1.100125132150051e-16,0.0018462326053128688,-1.6867801249291987e-17,2.577303668298022e-16,-8.723224025640543e-17,1.5768903505089334e-16,4.960789476366918e-16,-1.5511512332219593e-16,1.6331329747533908e-17,-1.1448440015152614e-16,0.0297344524871616,-2.038097337326089e-16,1.0000000000000002,-2.4391384359903327e-16,0.04549881445115688,-4.989799555202758e-17,6.073518993540121e-17,-1.585484513684628e-17,0.009835398027891724,-8.95047199864507e-17,0.08865261752951192,1.7456318380134295e-16,-6.142993845430152e-17,-1.7847823572353544e-17,-8.227387395373248e-18,-2.1986831581257817e-19,0.02274214825491643,-2.0176199748016533e-16,6.301261495532353e-18,5.983974562832562e-16,-5.155157834654253e-16,0.004174121081169171,3.1602850799255525e-17,0.005185990724238715,2.1273633859617385e-17,2.0671563574818268e-16,0.02937220197985744,1.1051902880048189e-16,-1.43982048506075e-16
eletroportateis,-1.3812645244045534e-16,-2.576796571034895e-16,-4.4328658894407667e-16,3.7328889208875527e-16,3.616006840726198e-17,-5.168458624697537e-17,-1.7544385673185213e-16,-2.5553438341554426e-16,-7.006045074136338e-17,4.1091183254924935e-16,0.04217794954767807,1.457425231298784e-17,-1.2547957969358892e-16,1.4229524075640353e-16,-7.722441025507971e-18,1.0021987555262019e-16,-3.5159193481471004e-16,0.15448363457190575,-4.9107879450513554e-17,8.272627429918826e-17,0.01720473545950395,-6.643027662578733e-17,-2.4391384359903327e-16,1.0,-3.6885103183179293e-16,2.231578794756232e-16,4.220031728884137e-17,-2.4000898458184674e-16,-3.4135827436685837e-16,-2.940503276562287e-17,-6.060314079258858e-17,-5.249454563135636e-17,1.1071811840503438e-16,-2.293811416293914e-16,2.851871629200561e-17,-6.933627943514532e-17,0.03655249604586486,0.05126893597061988,-8.497456894252444e-18,-1.0721987307443011e-16,-1.0873242584270795e-17,0.003550923335416116,-2.7056608111618e-16,-1.1122434676532412e-16,-2.63191099977234e-17,2.638800266475728e-16,0.038537715807844534,-2.3595263943999636e-16,0.033733518215175666
esporte_lazer,2.6155973287857406e-16,0.06082487337594666,0.058051231170899026,-2.0307223674328263e-17,1.2260448891812642e-16,0.027036277429447687,0.01279942982898004,0.04043799396462112,0.05548394477818057,0.09292379654655179,0.0633455214026693,0.054692803942001336,0.026461358139161097,-1.3756279852200803e-16,-5.885732315095996e-17,0.02603712018614199,0.01759138572504764,-2.2108203197099531e-16,2.489534277975684e-17,-5.068739110859225e-17,0.042304738034597354,-1.479028192854435e-17,0.04549881445115688,-3.6885103183179293e-16,0.9999999999999998,0.022873783460131893,0.03266349425204432,0.08839953186751122,0.03923294105720864,0.03593585736206176,0.035614962108771756,9.649982751202894e-17,5.2821835501200025e-17,0.007524532088569033,-9.238291200314809e-17,-2.0240996918196174e-16,0.03949744884029284,0.009178681799321317,-9.694765351042578e-17,0.027765150110211696,0.022728810923905243,0.00044255814659764414,0.035007812245827906,0.03021300007724758,0.04105290433482159,0.05014251062346897,0.04178934556786277,0.04069642178612466,0.029592641170593285
fashion_bolsas_e_acessorios,-1.6629214086874576e-16,9.660988625947952e-17,0.050714014687234944,0.06040175162572481,0.09760555394223215,0.0075285899726486956,0.03772527862607944,0.059345097577071036,4.567806566597603e-19,0.009852949195914491,0.04693443897664821,0.05610217723934304,4.5646784435990984e-17,-6.704400356229478e-17,0.048237607109392254,0.03198449194329648,-2.559232657588291e-16,3.579275378056782e-16,3.79866051306463e-17,-2.7590419417106474e-17,0.02294287521615802,-1.2514398453448861e-16,-4.989799555202758e-17,2.231578794756232e-16,0.022873783460131893,1.0000000000000002,-7.661298514757854e-17,2.4611752476728174e-16,0.02818042835697065,-6.351646810713533e-17,0.041972203718176296,0.04559737267818203,0.07848819593411843,0.04190600350118753,0.024872480085969026,1.672862524007099e-16,0.02783442429419834,0.0045438557754662896,0.046973692349049544,-2.3437490156842677e-16,7.156154464857554e-17,-0.0020443255141322585,0.04843022673871332,0.0686252211498443,0.054939382404911793,1.1590529329415237e-16,0.062062754771229196,1.1716969742520393e-16,0.08019757277339472
fashion_calcados,-1.9701040989542773e-16,-4.3605516021620184e-17,1.2825987792985988e-16,-2.2061403194405374e-16,-1.4322948532643329e-16,-1.6393722072212422e-16,1.698440269359516e-16,-1.0358694115345826e-17,-9.407686060025954e-17,0.0737086665284881,0.027128448990350208,0.05160969219262276,4.045002075755021e-17,1.5615212300426772e-16,1.7649253394407635e-16,0.11601063668527069,-8.673302176650859e-17,1.1848509034514851e-16,-2.9135960771836576e-16,1.4987766913628022e-16,-1.2696297058146514e-16,-7.439038964061414e-17,6.073518993540121e-17,4.220031728884137e-17,0.03266349425204432,-7.661298514757854e-17,1.0,-6.649984876855189e-17,1.1076260344840195e-16,7.389778338541646e-16,-3.8721996663681594e-17,3.0902588423460476e-16,-1.229875516953859e-16,0.0023384131360268206,-5.850625092622297e-17,2.434167272114696e-16,1.1825125466014097e-16,2.8039432165097387e-16,8.60799254934294e-17,2.559094069695644e-16,1.5534597839640667e-16,0.007755865409626205,0.007594746348098115,-9.20898414174864e-17,0.047805310307051985,4.505657819718681e-16,-1.8966112635085417e-16,-5.386531001996599e-17,-8.878568237233998e-17
fashion_roupa_masculina,-1.120091307590595e-16,-1.2136031633570878e-16,-2.519262531142903e-16,-7.501365502363298e-16,-2.7131891466613684e-17,-3.4684882471148765e-16,-1.184869127188855e-16,-5.439698574730958e-17,-2.0429227163330042e-17,-1.2783666145737332e-16,-3.183204145315656e-17,0.00815064996272184,-3.6041238628269043e-16,2.514344649116513e-17,1.6633451946378919e-16,-3.683735714639894e-16,-1.912146732648273e-16,5.951717491912832e-17,1.013079164802108e-16,1.0609078585870899e-16,-1.3153339983479539e-16,1.0121736083723931e-16,-1.585484513684628e-17,-2.4000898458184674e-16,0.08839953186751122,2.4611752476728174e-16,-6.649984876855189e-17,1.0,1.0354406552607714e-19,4.742188295989214e-16,-1.0475151710089132e-16,5.545655020221977e-17,-4.9051147359890236e-17,-2.8299810324041284e-17,-3.4638195065965216e-16,2.767945666412427e-16,2.922874067678061e-17,9.0268053521689e-17,1.4811771382733388e-18,-2.1743145103450237e-17,-2.8239066830026725e-17,-0.028327003295597036,-8.371929659838759e-17,-1.57254495482672e-16,-4.219010243659045e-16,2.500726627346608e-17,-4.958043898713271e-17,-5.343153423923326e-17,0.04563514674555796
ferramentas_jardim,-1.3953727546052487e-17,1.4030131113036371e-16,0.00926730480100211,0.008278206423050223,6.518539288198523e-17,-4.50829362471608e-17,0.02502070889825234,0.0420014074271424,-6.327794557475293e-17,0.018380043767538986,0.013946524378982451,0.034041237350187596,1.0244448450943616e-16,0.026285840820923348,0.04407387294327748,0.05725455835660512,0.029512582403985733,0.03128737294664134,-4.048142598130489e-17,-2.5601691443569576e-17,3.37140559104061e-16,0.023407489208375397,0.009835398027891724,-3.4135827436685837e-16,0.03923294105720864,0.02818042835697065,1.1076260344840195e-16,1.0354406552607714e-19,1.0000000000000002,2.410514480076337e-17,0.030496809572156475,9.500782060405627e-17,1.278366347456414e-16,0.014043152071482542,2.2148448438001727e-17,0.04752317569024548,0.04530391890211935,0.019374333828571445,0.04291905573951039,-1.5442272473265613e-16,0.03488552683248262,0.0007374340418207084,0.01594296649477555,0.02377151818741328,0.018638694566976616,-5.4842279620278374e-17,0.015609988596306785,5.453044299226035e-17,0.05198931566073479
industria_comercio_e_negocios,5.078091533368272e-17,-3.7297048085038327e-16,1.9472411412113175e-16,3.294012414670571e-16,-2.4820130382806166e-16,-9.830921774276573e-17,-2.5527844287792966e-16,1.0732012343189431e-16,1.2179178621991602e-19,-4.5068638580600444e-17,2.1342006164106408e-16,-2.6747490807116397e-17,1.1569165083312287e-16,5.306650146313713e-18,2.4279671548344534e-16,-2.31298815334598e-16,1.5407545186834686e-16,8.883393796054576e-17,-4.866499561215264e-16,-1.647554701615818e-17,-2.0605038168204085e-17,-1.0521002654448133e-17,-8.95047199864507e-17,-2.940503276562287e-17,0.03593585736206176,-6.351646810713533e-17,7.389778338541646e-16,4.742188295989214e-16,2.410514480076337e-17,1.0,-1.5477602468229904e-16,-3.936959337856279e-17,-4.859600587394472e-16,1.0177266820061648e-16,-1.5367038700465e-16,-8.010985596515196e-16,0.04137170149448542,-5.3837471689997035e-18,-4.274719226842041e-16,9.912006310575147e-17,8.337058242910623e-17,0.013064575249274131,-2.832168828179309e-16,-3.33698611452586e-16,-3.569785509292735e-16,3.0101568354677616e-17,4.438796772449994e-16,6.643046575613762e-17,-1.4373474215203388e-16
informatica_acessorios,2.0413966235271433e-16,-2.5696276362650914e-17,0.046420177316624026,-7.059543876585077e-17,5.3519593354079806e-17,-2.049859903605454e-17,0.0025697612838056576,0.012750677080939429,0.029129406569182267,0.047594807312610926,6.219235278605568e-17,0.04090718381862843,1.0387720421871626e-17,0.03150359100494757,-8.922850402640999e-18,0.030590891980430066,-4.7508659605529225e-17,-1.9479721980677058e-16,5.6617860553467385e-18,5.3883585163267306e-18,-3.371049447029206e-16,0.01875979820104293,0.08865261752951192,-6.060314079258858e-17,0.035614962108771756,0.041972203718176296,-3.8721996663681594e-17,-1.0475151710089132e-16,0.030496809572156475,-1.5477602468229904e-16,0.9999999999999998,0.033389399564553834,4.4650344048476397e-17,1.034990118057751e-16,-2.4407605917755836e-17,0.02487325848292587,0.02671278865697537,1.9183560331967996e-18,-7.854853737201516e-17,-9.994954674391713e-17,0.018544105844454307,6.386392294497967e-05,-1.8245075095221048e-16,3.8913583563975236e-18,0.019302633886765754,0.013842385228694626,0.05670591921591385,0.02832503585770935,0.03438287179776914
instrumentos_musicais,-9.573947582339774e-17,4.0560491865102387e-16,2.5340249324204322e-17,-4.1802808257129335e-17,-2.2582377326590145e-16,9.898389512870093e-17,0.04885498425154124,-6.793961264326679e-17,-3.8806162964558674e-17,-6.512951703167532e-17,0.06903317679854112,0.018679748187941884,5.319376066606753e-17,6.293268202669801e-19,-6.484855181966016e-16,1.2896692483750234e-17,7.136823537357338e-17,4.27881513645006e-17,6.561858498452856e-16,2.862456303832237e-16,3.9644452112899817e-17,-5.027724929029486e-17,1.7456318380134295e-16,-5.249454563135636e-17,9.649982751202894e-17,0.04559737267818203,3.0902588423460476e-16,5.545655020221977e-17,9.500782060405627e-17,-3.936959337856279e-17,0.033389399564553834,0.9999999999999999,-8.242556271176729e-18,3.618886309441166e-16,9.081287833038261e-17,1.2642146941058657e-16,0.00751659080232834,8.335617407485232e-17,-1.3854049305996953e-16,4.070736733635246e-17,1.695075003038782e-17,-0.0022923045127321217,-8.360786183740756e-18,1.2372381113496085e-16,-1.9210867138792612e-17,-3.3894698372980976e-16,-7.465360346647775e-17,-5.058884908775176e-17,-5.32002585788281e-17
livros_interesse_geral,-1.5018562935022339e-16,6.408419787019475e-17,-6.184730056468359e-17,2.3873574588596867e-17,-8.041595482498423e-18,2.2597474752882817e-16,1.1257412606019222e-16,2.118002102493626e-17,3.711824373515239e-17,0.0361544499474971,-6.755951396073558e-17,7.309052958896783e-17,2.4455576598172167e-16,1.1067969060518505e-16,-7.760867307192392e-16,-4.092327702675028e-16,-8.693070676917686e-18,4.371501965943619e-17,8.326714932813906e-17,-2.327543827679331e-16,-5.3901128287841036e-17,2.198628485364327e-16,-6.142993845430152e-17,1.1071811840503438e-16,5.2821835501200025e-17,0.07848819593411843,-1.229875516953859e-16,-4.9051147359890236e-17,1.278366347456414e-16,-4.859600587394472e-16,4.4650344048476397e-17,-8.242556271176729e-18,1.0,-2.1274576819246812e-16,8.982923091658791e-17,3.4782659017584345e-16,2.2638877844941518e-17,1.2563612196325277e-16,-5.45425576718997e-16,-4.4319475481096395e-17,8.547102226548051e-17,0.00035502883726141327,4.179630132819312e-17,-9.254232553455982e-18,-5.0671328215944594e-17,-5.150027575593698e-16,-8.678163231777866e-17,1.5957750195701166e-16,-7.806255641895632e-18
malas_acessorios,-1.3538902681762519e-17,0.09388641384880515,0.026952540734242376,-1.748699702808569e-18,8.249897292229352e-17,1.806720848587863e-16,0.033847611427328395,5.1591459636593295e-17,3.062434151417908e-16,0.07919340791680737,-6.769746891634897e-17,3.054368160846966e-17,-3.5551176408198324e-17,0.03825705401588439,-7.340664843118222e-17,2.491501168832109e-16,-1.1448223678510864e-16,-1.0607426131389336e-16,-1.2208611843857649e-17,-2.135392252676046e-16,8.175919215948583e-17,0.0605129845597335,-1.7847823572353544e-17,-2.293811416293914e-16,0.007524532088569033,0.04190600350118753,0.0023384131360268206,-2.8299810324041284e-17,0.014043152071482542,1.0177266820061648e-16,1.034990118057751e-16,3.618886309441166e-16,-2.1274576819246812e-16,1.0,-2.2483858732397504e-16,-2.6483824402783098e-17,0.01594836456175285,-1.0457035210638229e-16,-3.7500455690863825e-17,-8.418780926928824e-17,0.028859513503968398,0.005712062206939874,0.058038460704621944,9.225271983649123e-17,0.01270693780907454,-8.648621530710927e-17,-1.2024675104378678e-16,2.643485658049845e-16,0.02173795223767419
